largopob1,largopob2,carretcant1,carretcant2,clima,porchombres,delincuencia,uber,GDP,IDC
-2.496201532,103.1298,-492.7558857,23.5927286,319,0.493,48,1,771163,0.43
-5.333201849,37.0864,-245.1377325,-29.3340592,1069.4,0.468,70.62,0,857429,0.47
-1.354846833,53.9695,-569.491262,-22.6423377,1236.3,0.460,62.63,1,194248,0.42
9.610867089,401.8967,-833.6035578,-70.5765552,601.7,0.493,41.19,0,1232597,0.4
2.347241232,74.5631,-841.2614601,191.8569617,160,0.696,20.66,0,11218281,0.29
-9.58570426,145.3741,-450.6815299,-43.3605989,813.2,0.502,41.09,1,3466639,0.49
-1.432501608,42.7664,-78.1605228,24.4117209,1884.9,0.499,17.24,1,18569100,0.41
0.633217646,78.5190,-451.5367838,-401.624828,547.9,0.491,19.25,1,1798622,0.31
0.118479924,39.9161,-358.126106,-364.5513276,852.4,0.492,44.51,1,466960,0.38
-0.113113662,43.4251,-182.1005485,-59.7694502,1320.2,0.509,70.62,1,187039,0.25
-9.593975066,77.7408,-847.5931053,261.5413205,1441.1,0.474,70.62,1,125675,0.3
-1.640063723,42.4727,-166.7915181,-67.1609023,1540.6,0.478,70.62,1,545124,0.2
-0.030885183,40.0208,-239.8953319,-149.5734705,581.8,0.476,40.18,0,11218281,0.29
-3.423391729,574.3929,-1124.987664,397.6928946,571.8,0.516,33.9,1,18569100,0.46
-5.45924068,50.3970,-128.0996251,-83.6210745,1331.3,0.513,33.9,1,306730,0.45
-1.791644691,174.8432,-272.1846171,-14.0544665,2398.4,0.470,33.9,1,371353,0.36
-5.72180879,588.4723,-951.1851419,313.7781737,1166.1,0.510,33.9,0,3466639,0.41
-1.324117369,20.4519,-428.6430552,-246.1099569,522.6,0.497,21.13,1,11218281,0.23
-0.4622015,68.3485,-1087.684705,-100.0344088,831.1,0.480,39.25,1,857429,0.3
0.192198895,79.5334,-361.8565579,-450.4761966,1588.7,0.496,39.25,1,528550,0.39
0.77403314,65.2080,-337.3784071,-280.1799322,525.8,0.491,30.18,0,2629188,0.28
0.507584345,31.9999,-532.2705731,-288.244699,831.9,0.484,43.66,1,18569100,0.29
4.512832241,213.9640,-1503.943738,180.8951137,637.4,0.486,43.66,0,2463222,0.38
1.109617671,151.7404,-865.0662962,-188.6404991,570.7,0.500,32.03,1,1232597,0.29
1.542992724,94.9985,-721.8818354,-257.7723158,944,0.493,32.03,1,1046002,0.3
1.489647571,104.0047,-627.3260594,-303.4254023,792.6,0.488,32.03,1,1850735,0.33
2.548598595,84.6617,-277.2254865,-231.4908611,419.1,0.485,40.32,1,1280731,0.37
-0.55338381,38.2364,-436.3054902,-80.283889,532,0.477,38.39,1,3466639,0.22
1.822433541,100.9927,-577.4873574,-349.6974608,920.1,0.485,44.66,0,1850735,0.3
0.61537513,20.1906,-459.5177702,-406.6551211,1006.6,0.475,44.66,0,18569100,0.33
-0.473337108,13.2215,-380.2710246,-444.9167555,981,0.482,44.66,0,1280731,0.25
0.164480355,31.4104,-365.9168681,-286.3892939,838.2,0.496,29.89,1,370449,0.22
-1.712974368,113.3102,-186.5443291,-126.4721671,661,0.465,46.05,1,2463222,0.41
-1.101243715,15.9426,-113.6013019,-161.6902624,460,0.432,46.05,1,1798622,0.35
0.176896213,131.1595,-403.252286,181.3713802,2405.1,0.479,17.24,1,192991,0.4
-2.420975842,65.1086,-326.4082243,-103.3617983,402.2,0.502,41.09,0,1798622,0.33
-0.980559386,60.0607,-450.5124582,-411.0030341,804.4,0.486,44.66,1,1850735,0.4
-1.735202544,226.6672,-1064.255785,210.6858474,846.1,0.497,50.32,0,1280731,0.66
2.074991204,85.9773,-327.3533022,-390.5135003,878,0.504,45.69,1,247025,0.3
-1.471808794,346.3182,-421.5829723,-12.9916378,707,0.466,46.05,0,1798622,0.44
2.991016076,145.9782,-359.6780687,-349.3660916,621.3,0.491,31.28,0,11218281,0.31
6.055821037,293.9551,-1304.335298,106.7299821,420.9,0.491,31.28,0,52418,0.25
1.266040335,60.9904,-1686.621003,-257.2612489,1080.3,0.481,48.76,1,528550,0.28
2.489699886,165.4037,-1340.817022,-424.2211081,991.9,0.496,48.76,1,1529224,0.26
3.43075449,380.2807,-3512.898277,624.4955075,1268.5,0.493,48.76,0,1850735,0.35
-3.000333858,28.1085,-2147.692977,-34.6481033,379.2,0.498,48.76,0,1529224,0.45
-0.149606206,71.4402,-252.8447142,-151.0944846,643,0.488,27.95,1,386752,0.5
